ds,y,yhat,yhat_lower,yhat_upper,residual,resid_z,anomaly_breach,anomaly_z3,anomaly_any,severity
2019-07-14 10:45:00,1858843,1650282.6187295325,1453565.8768077758,1859681.320793127,208560.38127046754,-0.19842812415045732,0,0,0,0.019842812415045735
2019-07-14 10:50:00,1852417,1653950.9358452086,1467715.852505309,1842191.0068052975,198466.0641547914,-0.2679030519874464,1,0,1,1.0267903051987446
2019-07-14 10:55:00,1911851,1657706.2633549862,1457997.0840106958,1868156.5320570406,254144.7366450138,0.1153097705332823,1,0,1,1.0115309770533283
2019-07-14 11:00:00,1943721,1661536.8438407432,1457227.6674781474,1867862.8515055615,282184.1561592568,0.3082932705580501,1,0,1,1.030829327055805
2019-07-14 11:05:00,2244354,1665430.551949011,1478758.4323205734,1866831.1426964107,578923.4480509891,2.3506246788473235,1,0,1,1.2350624678847324
2019-07-14 11:10:00,2046986,1669374.9560175857,1471407.0551676925,1875317.5992286557,377611.0439824143,0.9650762970122622,1,0,1,1.0965076297012262
2019-07-14 11:15:00,1946004,1673357.3813023067,1465532.2326935912,1864103.4646624227,272646.61869769334,0.24265042228100547,1,0,1,1.0242650422281006
2019-07-14 11:20:00,1873603,1677364.9744496697,1469026.5618825748,1872558.8014632997,196238.0255503303,-0.28323770211673294,1,0,1,1.0283237702116732
2019-07-14 11:25:00,1872040,1681384.7688335453,1471897.2791259245,1881835.2452196474,190655.23116645473,-0.32166172154308553,0,0,0,0.03216617215430855
2019-07-14 11:30:00,1901649,1685403.7503135444,1505345.6924365654,1883411.327177381,216245.2496864556,-0.14553641562582723,1,0,1,1.0145536415625827
2019-07-14 11:35:00,1907091,1689408.923097645,1487203.4513267805,1894406.3216598553,217682.07690235507,-0.1356473398225898,1,0,1,1.0135647339822589
2019-07-14 11:40:00,1897351,1693387.375217334,1502416.1831420823,1883164.9264388266,203963.6247826661,-0.2300656605597566,1,0,1,1.0230065660559757
2019-07-14 11:45:00,1940224,1697326.3433252287,1500757.5479895999,1891414.715636823,242897.65667477134,0.03790086209944994,1,0,1,1.003790086209945
2019-07-14 11:50:00,1931106,1701213.2762968459,1509160.5929464635,1896211.590836884,229892.72370315413,-0.051606607239397674,1,0,1,1.0051606607239398
2019-07-14 11:55:00,1940363,1705035.8973879342,1511662.160898269,1895667.8245626104,235327.10261206585,-0.01420406893899394,1,0,1,1.0014204068938994
2019-07-14 12:00:00,2000422,1708782.2645010683,1512714.021053614,1908623.1272673951,291639.7354989317,0.3733720356446607,1,0,1,1.0373372035644661
